,0,1
177,-0.56109285,-0.33646366
178,-0.09446833,-0.20456241
179,7.413737,11.077697
180,-0.22937815,-0.17027175
181,-0.08773828,-0.31629494
182,-0.11033863,-0.104318984
183,0.5241446,0.85122675
184,0.618935,-0.011742548
185,0.58161753,0.7846642
186,-0.040507216,-0.0758435
187,-0.13259661,-0.27426878
188,-0.07653766,-0.014459255
189,-0.40897095,-0.10168898
190,-0.2892101,0.13150223
191,-0.3067442,-0.15604347
192,-0.28777647,-0.18602823
193,1.963468,3.3984044
194,-0.141696,-0.18659447
195,-0.62126803,0.20209953
196,4.6402855,6.29946
197,0.10687435,0.11570579
198,-0.053993877,-0.041573882
199,1.426893,1.5589272
200,-0.34173098,-0.30330265
201,-0.2053654,-0.30495963
202,-0.032772236,-0.1108039
203,-0.3875058,-0.25274774
204,-0.1047723,-0.14419793
205,-0.59425706,-0.28346112
206,0.65238756,0.80066615
207,2.8573697,5.580499
208,-0.1520214,-0.2838668
209,-0.38541636,-0.40183985
210,-0.36379433,-0.2208284
211,1.3335055,1.377451
212,0.84967,1.1110116
213,0.6333934,1.0922416
214,19.02467,20.54531
215,-0.2528748,-0.2205212
216,0.40577623,0.6506321
217,3.6994436,5.6074452
218,0.5087849,0.76740557
219,-0.33323726,-0.22976243
220,-0.317299,-0.049821053
221,-0.40485486,-0.27924013
222,1.4991753,1.7350829
223,0.39180163,1.1963763
224,0.4668379,1.1659217
225,12.949316,13.250733
226,0.8465947,0.63298094
227,-0.19920339,-0.022364253
228,3.8271196,4.889809
229,0.6181397,0.76847243
230,2.671545,3.3890474
231,0.15755822,-0.2014104
232,2.8144271,3.5397444
233,-0.14040403,-0.2256606
234,-0.3741415,-0.14567082
235,-0.21536341,-0.22072065
236,20.004665,20.177048
237,-0.31917027,-0.18125276
238,0.94156885,1.1574134
239,2.497024,3.6222804
240,0.024520718,-0.16994207
241,-0.4178711,0.07821387
242,12.0610075,10.407306
243,-0.41369182,-0.24040055
244,1.3279111,1.60789
245,-0.21430781,-0.19465931
246,-0.09849915,-0.111001566
247,0.27676564,0.3097399
248,2.11422,3.8623753
249,0.12506601,0.034669477
250,6.417886,6.7923803
251,-0.3550535,-0.26830336
252,-0.33924228,-0.12815672
253,11.286275,12.6995325
254,-0.5355812,-0.47466326
255,2.65963,4.220463
256,-0.55832744,-0.32303962
257,0.9657766,1.0555786
258,19.446024,19.572739
259,-0.3479451,-0.32160705
260,23.165344,22.145292
261,0.8391082,1.2085583
262,-0.33140954,-0.08327145
263,-0.1799902,-0.09506241
264,-0.04832408,-0.16499819
265,7.6467505,9.2182255
266,-0.40490374,-0.35655174
267,-0.6980793,-0.29619294
268,-0.3427757,-0.24524167
269,-0.048615053,-0.09421785
270,-0.4120962,-0.19577825
271,0.081555344,-0.043282617
272,0.03628063,0.05626506
273,0.7342706,0.9094608
274,0.06994922,0.07171504
275,-0.5644352,-0.31948406
276,-0.29675242,-0.17496265
277,20.025251,17.981155
278,0.46468958,0.029913636
279,2.1246667,3.8234565
280,44.39326,35.7833
281,-0.17915992,-0.16930482
282,-0.45947623,-0.12403991
283,16.947287,14.7013
284,0.7150149,1.0725089
285,2.538454,4.616942
286,3.5557356,4.924108
287,32.369003,30.30428
288,-0.26003763,-0.22018936
289,-0.18839704,-0.25738978
290,19.961815,18.106712
291,0.15000235,-0.19517882
